,title,media,date,desc
53,"Mubadala vence disputa por refinaria da Petrobras na Bahia por US$ 1,65 bilhão",CNN Brasil,09/09/2021,"O Mubadala Capital venceu disputa pela Refinaria Landulpho Alves (Rlam), da  Petrobras, na Bahia, com uma oferta de US$ 1,65 bilhão, informou a  petroleira..."
54,"Fundo Mubadala vence disputa por refinaria da Petrobras na Bahia com oferta de US$ 1,65 bilhão",G1,09/09/2021,"A Petrobras informou nesta segunda-feira (8) que concluiu a rodada final do  processo de venda da Refinaria Landulpho Alves (Rlam), na Bahia, e que a  melhor..."
55,Petrobras vende refinaria e programa negociar mais 7 unidades,Noticias R7,09/09/2021,"A Petrobras informou nesta segunda-feira (8) a venda da RLAM (Refinaria  Landulpho Alves), na Bahia. Conforme a estatal, a Mubadala Capital  apresentou a..."
56,"Ações da Petrobras lideram queda, após comunicados e aumento de combustíveis",CNN Brasil,09/09/2021,"As ações da Petrobras registraram a maior queda entre os papéis do  Ibovespa, nesta segunda-feira (8). Os papéis (PETR4) e (PETR3) recuaram  3,14% e 4,14%,..."
57,Bolsonaro diz não ter influência sobre Petrobras e que não quer ser ditador,Folha,09/09/2021,"Daí a Petrobras alega: se não aumentar o diesel, não vamos importar mais,  que vamos importar álcool para vender mais barato. Então, poderia haver..."
58,Bovespa fecha em queda nesta segunda puxada por Petrobras,G1,09/09/2021,"O principal índice da bolsa de valores brasileira, a B3, fechou em queda  nesta segunda-feira (8), abaixo dos 120 mil pontos, com a Petrobras entre  as..."
59,Bolsonaro reafirma que Petrobras tem independência para preços,Valor Investe,09/09/2021,O presidente Jair Bolsonaro reafirmou nesta segunda-feira (8) que o governo  federal não controla os preços de combustíveis praticados pela Petrobras.
60,"Petrobras tem autonomia para definir preços de combustíveis, diz conselho",UOL Economia,10/10/2021,O conselho de administração da Petrobras está alinhado com o presidente da  companhia e entende que a política de preços não sofreu alterações e segue  o...
61,Petrobras reinicia venda de refinaria no Paraná,Portos e Navios,10/10/2021,"A Petrobras anunciou que vai reiniciar o processo de venda da Refinaria  Presidente Getúlio Vargas (Repar), no Paraná, após as propostas vinculantes  para..."
62,"Petrobras conclui venda da BSBios para RP Participações, por R$ 322 milhões",Valor Econômico,10/10/2021,"A Petrobras, por meio da subsidiária Petrobras Biocombustível (PBio),  concluiu nesta terça-feira (9) a venda da totalidade de sua fatia de 50% na  BSBios..."
63,Petrobras volta a pressionar Ibovespa; Sabesp dispara,Notícias RIC Mais,10/10/2021,"(Reuters) – O Ibovespa fechou esta terça-feira com queda discreta, com as  ações da Petrobras mais uma vez entre as maiores pressões de baixa,..."
64,Novo aumento eleva preço da gasolina; confira o valor em BH,Estado de Minas,10/10/2021,"A Petrobras anunciou mais reajustes de preços dos combustíveis na  refinaria. A partir de hoje, o preço médio de venda da gasolina para as  distribuidoras..."
65,Entra em vigor o segundo aumento do preço do gás de cozinha em 2021,G1,10/10/2021,"O reajuste da Petrobras é de 5,1% no preço do GLP. São R$ 0,14 a mais por  quilo. Assim, o botijão de 13 quilos passou de R$ 35,98 para R$ 37,79 nas  refinarias."
66,Lisauskas: Bolsonaro pouco pode fazer em relação aos preços de combustíveis,CNN Brasil,10/10/2021,"... quando faz essa movimentação de se reunir publicamente com o presidente  da Petrobras e de tentar achar culpados – no caso, os governadores quando  diz..."
